"OPEID","Fund_Code","Academic_Statuses","Admission_Statuses"
"00206800","DSUB","RG - Regular","RG - Regular|AM - Admitted"
"00206800","PELL","RG - Regular|AP - Academic Probation","RG - Regular|AM - Admitted|PV - Provisional"
