"OPEID","State_of_Legal_Residence","Primary_Program_Modality","Charge_Types"
"00206800","KY","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","PW","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","PW","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","LA","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","LA","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","RI","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","RI","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","ME","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","ME","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","SK","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","SK","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","MB","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","MB","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","SC","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","SC","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","MH","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","MH","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","SD","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","SD","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","MD","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","MD","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","TN","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","TN","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","MA","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","MA","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","TX","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","TX","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","MX","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","MX","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","VI","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","VI","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","MI","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","MI","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","UT","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","UT","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","AA","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","AA","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","VT","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","VT","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","AE","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","AE","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","VA","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","VA","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","AP","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","AP","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","WA","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","WA","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","MN","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","MN","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","WV","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","WV","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","MS","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","MS","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","WI","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","WI","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","MO","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","MO","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","WY","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","WY","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","MT","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","MT","ONLINE","Tuition,Taxes,Misc,Resource"
"00206800","YT","GROUND","Tuition,Taxes,Misc,Resource"
"00206800","YT","ONLINE","Tuition,Taxes,Misc,Resource"
